Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
1,15,473650,302850,115700,187150,84100,33000,51100,47100,21750,25350,74250,30150,44100,97400,30800,66600,146000,56000,90000,24800,
1,16,488485,307885,119750,188135,70535,24000,46535,43500,19500,24000,77850,45450,32400,116000,30800,85200,162000,72000,90000,18600,
1,17,422450,219650,112450,107200,45000,27000,18000,65100,30300,34800,67350,32550,34800,42200,22600,19600,178000,88000,90000,24800,
1,18,495550,307950,132650,175300,54000,18000,36000,51750,23850,27900,89400,60000,29400,112800,30800,82000,169000,64000,105000,18600,
1,19,375600,219800,117350,102450,39000,18000,21000,41250,15150,26100,75150,45000,30150,64400,39200,25200,131000,56000,75000,24800,
1,20,472850,256050,132350,123700,45000,21000,24000,63000,32550,30450,77850,36600,41250,70200,42200,28000,192000,72000,120000,24800,
1,21,487500,267900,127000,140900,39000,24000,15000,58650,30450,28200,73650,15150,58500,96600,57400,39200,201000,96000,105000,18600,
1,22,536335,309735,135300,174435,78235,27000,51235,58650,19500,39150,82050,52200,29850,90800,36600,54200,208000,88000,120000,18600,
1,23,406250,248650,127850,120800,63000,24000,39000,47700,23850,23850,72750,57600,15150,65200,22400,42800,139000,64000,75000,18600,
1,24,486605,306005,147600,158405,72705,30000,42705,58650,28200,30450,94050,40800,53250,80600,48600,32000,162000,72000,90000,18600,
1,25,518400,331600,113300,218300,85800,24000,61800,31650,15150,16500,91350,43350,48000,122800,30800,92000,162000,72000,90000,24800,
1,26,474650,272850,120200,152650,52300,30000,22300,58500,21600,36900,94650,34800,59850,67400,33800,33600,177000,72000,105000,24800,
1,27,423870,230070,109085,120985,60470,21235,39235,58350,21450,36900,94050,49200,44850,17200,17200,0,169000,64000,105000,24800,
1,28,530400,344600,134500,210100,76800,31300,45500,44850,21750,23100,93150,44850,48300,129800,36600,93200,161000,56000,105000,24800,
1,29,578185,307385,142050,165335,54235,27000,27235,54150,21600,32550,108600,47850,60750,90400,45600,44800,246000,96000,150000,24800,
1,30,490050,319450,97250,222200,59200,18000,41200,48750,17250,31500,86700,45000,41700,124800,17000,107800,152000,32000,120000,18600,
2,0,478905,271105,116500,154605,48705,9000,39705,36750,15150,21600,95850,47550,48300,89800,44800,45000,183000,48000,135000,24800,
2,1,485150,268350,102950,165400,57000,21000,36000,41100,21600,19500,86850,43350,43500,83400,17000,66400,192000,72000,120000,24800,
2,2,523285,276485,124500,151985,36235,24000,12235,56400,26100,30300,91050,34800,56250,92800,39600,53200,222000,72000,150000,24800,
2,3,440700,239100,95300,143800,60000,24000,36000,60900,21750,39150,81600,32550,49050,36600,17000,19600,183000,48000,135000,18600,
