iteration, p, s, N1, X1, p(X>x1), N2, X1, p(X>x2), N3, X3, p(X>x3), pf = p(X>x1)*p(X>x2)*p(X>x3)
100, 1, 12, 522, 265, 0.346840, 122, 118, 0.000000, 15, 7, 0.500000, 0.000000
100, 1, 13, 557, 279, 0.466238, 164, 146, 0.000000, 16, 3, 0.989365, 0.000000
100, 1, 14, 560, 306, 0.012513, 130, 128, 0.000000, 14, 2, 0.993530, 0.000000
100, 1, 15, 550, 285, 0.185282, 177, 170, 0.000000, 9, 4, 0.500000, 0.000000
100, 1, 16, 526, 282, 0.044472, 131, 124, 0.000000, 20, 7, 0.868412, 0.000000
100, 1, 17, 500, 267, 0.058718, 129, 121, 0.000000, 10, 3, 0.828125, 0.000000
100, 1, 18, 580, 300, 0.191619, 148, 137, 0.000000, 18, 10, 0.240341, 0.000000
100, 1, 19, 560, 281, 0.449567, 140, 133, 0.000000, 14, 5, 0.788025, 0.000000
100, 1, 20, 537, 278, 0.194061, 130, 126, 0.000000, 13, 7, 0.290527, 0.000000
100, 1, 21, 590, 290, 0.644487, 133, 132, 0.000000, 12, 4, 0.806152, 0.000000
100, 1, 22, 570, 313, 0.008445, 145, 135, 0.000000, 14, 7, 0.395264, 0.000000
100, 1, 23, 469, 255, 0.026170, 148, 141, 0.000000, 15, 5, 0.849121, 0.000000
100, 1, 24, 484, 245, 0.375192, 166, 161, 0.000000, 16, 6, 0.772751, 0.000000
100, 1, 25, 558, 298, 0.049326, 137, 133, 0.000000, 16, 10, 0.105057, 0.000000
100, 1, 26, 559, 291, 0.155030, 180, 163, 0.000000, 13, 2, 0.988770, 0.000000
100, 1, 27, 518, 266, 0.254947, 167, 149, 0.000000, 18, 6, 0.881058, 0.000000
100, 1, 28, 484, 258, 0.066765, 142, 131, 0.000000, 15, 7, 0.500000, 0.000000
100, 1, 29, 506, 272, 0.041429, 158, 146, 0.000000, 17, 11, 0.071732, 0.000000
100, 1, 30, 556, 261, 0.919200, 142, 133, 0.000000, 15, 7, 0.500000, 0.000000
100, 1, 31, 539, 271, 0.431614, 116, 111, 0.000000, 10, 5, 0.376953, 0.000000
100, 1, 32, 534, 243, 0.979069, 177, 166, 0.000000, 15, 8, 0.303619, 0.000000
100, 1, 33, 523, 260, 0.534839, 150, 138, 0.000000, 15, 8, 0.303619, 0.000000
100, 1, 34, 514, 294, 0.000461, 154, 145, 0.000000, 15, 8, 0.303619, 0.000000
100, 1, 35, 148, 113, 0.000000, 29, 29, 0.000000, 7, 6, 0.007813, 0.000000
100, 1, 36, 499, 254, 0.327220, 124, 117, 0.000000, 14, 12, 0.000916, 0.000000
100, 1, 37, 578, 323, 0.002033, 137, 126, 0.000000, 16, 6, 0.772751, 0.000000
100, 1, 38, 545, 315, 0.000112, 143, 137, 0.000000, 19, 8, 0.676197, 0.000000
100, 1, 39, 548, 258, 0.907316, 153, 147, 0.000000, 14, 4, 0.910217, 0.000000
100, 1, 40, 470, 253, 0.043887, 139, 130, 0.000000, 26, 14, 0.278599, 0.000000
100, 1, 41, 583, 283, 0.746206, 148, 141, 0.000000, 14, 8, 0.211975, 0.000000
100, 1, 42, 515, 294, 0.000545, 137, 130, 0.000000, 17, 5, 0.928268, 0.000000
100, 1, 43, 503, 288, 0.000475, 148, 132, 0.000000, 17, 2, 0.998825, 0.000000
100, 1, 44, 597, 298, 0.500000, 142, 132, 0.000000, 11, 4, 0.725586, 0.000000
100, 1, 45, 497, 257, 0.209729, 128, 123, 0.000000, 15, 8, 0.303619, 0.000000
100, 1, 46, 545, 285, 0.132691, 121, 111, 0.000000, 18, 12, 0.048126, 0.000000
100, 1, 47, 579, 290, 0.466884, 133, 128, 0.000000, 15, 7, 0.500000, 0.000000
100, 1, 48, 574, 281, 0.676911, 139, 137, 0.000000, 16, 7, 0.598190, 0.000000
100, 1, 49, 507, 261, 0.238689, 170, 166, 0.000000, 20, 5, 0.979305, 0.000000
