Population,Day,objective,district task cost,district task cost collecting,district task cost sending,district 1 cost,d1 cost collecting,d1 cost sending,district 2 cost,d2 cost collecting,d2 cost sending,district 3 cost,d3 cost collecting,d3 cost sending,district 4 cost,d4 cost collecting,d4 cost sending,transfer taks cost,transshipment center 1 cost,transshipment center 2 cost,major customer task cost,
1,15,502560,323760,120575,203185,99760,31175,68585,27300,8400,18900,98700,46200,52500,98000,34800,63200,154000,64000,90000,24800,
1,16,533910,299510,121195,178315,99760,43645,56115,42000,18900,23100,59550,23850,35700,98200,34800,63400,222000,72000,150000,12400,
1,17,442425,277825,121540,156285,93525,24940,68585,35700,16800,18900,71400,33600,37800,77200,46200,31000,146000,56000,90000,18600,
1,18,490375,273575,117625,155950,93525,31175,62350,31500,14700,16800,58950,25350,33600,89600,46400,43200,192000,72000,120000,24800,
1,19,555685,293085,130240,162845,68585,24940,43645,27300,14700,12600,104400,55800,48600,92800,34800,58000,244000,64000,180000,18600,
1,20,436620,271820,136145,135675,74820,43645,31175,39900,16800,23100,65100,35700,29400,92000,40000,52000,140000,80000,60000,24800,
1,21,445090,304490,125310,179180,87290,37410,49880,35700,14700,21000,77700,33600,44100,103800,39600,64200,122000,32000,90000,18600,
1,22,496975,274975,114060,160915,93525,37410,56115,37800,18900,18900,80250,40350,39900,63400,17400,46000,191000,56000,135000,31000,
1,23,418690,264890,139645,125245,87290,43645,43645,37800,16800,21000,71400,33600,37800,68400,45600,22800,129000,24000,105000,24800,
1,24,531240,314440,116390,198050,87290,24940,62350,37800,14700,23100,82350,36150,46200,107000,40600,66400,192000,72000,120000,24800,
1,25,434815,265015,92535,172480,56115,6235,49880,37800,14700,23100,52500,25200,27300,118600,46400,72200,145000,40000,105000,24800,
1,26,521165,302565,138280,164285,118465,49880,68585,42000,16800,25200,60900,25200,35700,81200,46400,34800,200000,80000,120000,18600,
1,27,494360,300560,136610,163950,99760,37410,62350,48300,21000,27300,69300,37800,31500,83200,40400,42800,169000,64000,105000,24800,
1,28,478570,269770,100890,168880,74820,24940,49880,33600,10500,23100,63150,19050,44100,98200,46400,51800,184000,64000,120000,24800,
1,29,563810,345210,136395,208815,99760,43645,56115,48300,14700,33600,79950,31650,48300,117200,46400,70800,200000,80000,120000,18600,
1,30,435720,295920,130745,165175,82120,50945,31175,39900,14700,25200,73500,31500,42000,100400,33600,66800,115000,40000,75000,24800,
2,0,348615,223015,80405,142610,56115,18705,37410,31500,14700,16800,71400,21000,50400,64000,26000,38000,107000,32000,75000,18600,
2,1,500740,276740,123125,153615,87290,31175,56115,44100,18900,25200,61350,38250,23100,84000,34800,49200,193000,88000,105000,31000,
2,2,510695,323095,131645,191450,105995,43645,62350,39900,10500,29400,75600,39900,35700,101600,37600,64000,169000,64000,105000,18600,
2,3,536540,313540,134925,178615,87290,31175,56115,31500,16800,14700,96750,46350,50400,98000,40600,57400,192000,72000,120000,31000,
2,4,515470,289670,128495,161175,74820,43645,31175,23100,8400,14700,76350,53250,23100,115400,23200,92200,201000,96000,105000,24800,
2,5,458260,281460,121310,160150,99760,37410,62350,37800,21000,16800,65100,31500,33600,78800,31400,47400,152000,32000,120000,24800,
2,6,441795,300995,125045,175950,118895,43645,75250,42000,16800,25200,73500,33600,39900,66600,31000,35600,116000,56000,60000,24800,
2,7,456540,260940,108860,152080,87290,37410,49880,18900,8400,10500,65550,34050,31500,89200,29000,60200,177000,72000,105000,18600,
2,8,543590,310790,122410,188380,87290,37410,49880,31500,12600,18900,108000,49200,58800,84000,23200,60800,208000,88000,120000,24800,
2,9,499825,300025,126610,173415,93525,37410,56115,39900,14700,25200,84000,39900,44100,82600,34600,48000,175000,40000,135000,24800,
